Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Admission_grade_sqrt,Curricular_units_1st_sem_grade_reflect_log,Curricular_units_2nd_sem_grade_reflect_log,Curricular_units_1st_sem_category,Curricular_units_2nd_sem_category
1,1,1,9670,1,1,0.48432268416504665,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,0.2788443258386089,-0.23077976049762666,-0.9101721722280439,2,3
1,1,1,9500,1,1,0.25682316499696123,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,-0.5149929585364986,-0.5214105587322506,-0.5531686419406796,3,3
1,1,2,9853,1,1,0.02932364582887579,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0.2513444065844392,2.036446916444918,1.8295193665134917,1,1
1,53,1,9254,1,42,-1.714839334459779,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,-1.062820147612536,0.26045487111069554,0.08007666384140247,1,1
1,1,1,9085,1,1,1.2426544147253313,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0.7199536893747074,-0.5339896870217876,-0.18277876565418802,3,2
1,1,1,9773,1,1,-0.425675392507295,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,-0.41465867467009215,-0.5163977828971957,1.8295193665134917,3,1
1,18,1,9238,1,1,0.33265633805298966,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0.7400573543558295,-0.12958724463951077,0.08007666384140247,2,1
1,17,2,9500,1,1,0.18098999194093274,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,0.05069339194385043,-0.5539399832022932,-1.050833788643088,3,3
1,1,1,9130,1,1,0.33265633805298966,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0.6662361278598448,-0.2830660084660987,-0.2539236519422329,2,2
1,1,1,9853,1,1,0.5601558572210751,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,-0.13818444942852168,-0.03259046479514083,-0.6506065993013443,2,3
1,1,3,171,1,1,-0.8048412577874374,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,-0.4432659642864071,2.036446916444918,1.8295193665134917,1,1
1,18,4,9556,1,1,-0.425675392507295,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,-0.3362321403581968,0.031836220287622397,-0.027679670873529214,1,2
1,1,4,9500,1,1,0.7118222033331321,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,-0.0749998175297952,-0.3992045997021039,-0.43735281166841333,2,2
1,1,4,9670,1,1,-0.577341738619352,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,-0.8342228043452987,-0.5785569816785792,-0.2642850525129813,3,2
1,1,1,9500,1,1,-0.5015085655633235,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,-0.1874859760475923,-0.5505289990974628,-0.8766268458388767,3,3
1,1,1,9238,1,1,1.3943207608373882,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,2.0090329853521047,-0.013664479082327886,0.08007666384140247,2,1
1,17,2,9238,1,1,-1.3356734691796368,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,-0.7247185936973806,0.0491035475613043,-0.5771112943646799,1,3
1,1,1,9085,1,1,0.40848951110901816,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,0.3063021640406227,-0.33654747358697984,-0.482922357105654,2,2
1,1,1,9147,1,1,0.18098999194093274,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,-0.31490461191391395,-0.12958724463951077,-0.2781795429202013,2,2
1,17,2,9500,1,1,-0.425675392507295,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,-0.5509691875519823,-0.42474494924861683,-0.7276045299743801,2,3
1,44,1,9003,1,39,1.3184875877813598,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,1.5654425487340737,-0.08752386947217515,0.18345824976815295,2,1
1,51,1,9070,1,1,-0.577341738619352,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,0.2375786059737014,-0.39128007993003266,-0.6159913245552012,2,3
1,1,1,9147,1,1,0.7876553763891605,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0.8335855781078726,0.06054470593924564,-0.6506065993013443,1,3
1,18,1,8014,0,1,0.40848951110901816,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,0.5447922386915948,-0.33654747358697984,-0.9803551391532065,2,3
1,1,1,9991,0,1,-0.19817587333920963,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,0.33371811378166394,-0.2515542563693218,-0.6258238349806081,2,3
1,39,1,33,1,1,-0.19817587333920963,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,-1.7683238013928346,2.036446916444918,0.31389340433108354,1,1
1,39,1,9119,1,10,0.03690696313447821,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.15476048545557386,2.036446916444918,1.8295193665134917,1,1
1,43,1,9147,1,1,0.5601558572210751,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,-0.25815895646257225,0.39992034335102367,-0.18277876565418802,1,2
4,39,1,9991,0,1,-0.9565076038994943,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,-0.9076231525377167,0.15011400589872448,-0.07369353645992804,1,2
1,44,1,9130,1,39,-0.9565076038994943,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,-0.46475265572119034,-0.03259046479514083,-0.18277876565418802,2,2
1,1,5,9773,1,1,-0.5015085655633235,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,-0.38609874821351187,-0.36375373624893487,1.8295193665134917,2,1
1,1,2,9147,1,1,0.02932364582887579,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,-0.43610968869029443,-1.1575787902469898,-1.659500829549646,3,3
1,1,6,9500,1,1,-2.2456715458519785,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,-1.9163465565557412,-0.7865931638284311,-0.9672888971662256,3,3
1,17,1,9773,1,1,-0.9565076038994943,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,-0.3647097443224432,-0.4473237708034709,-0.7579804656261953,2,3
1,39,1,9991,0,1,0.03690696313447821,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,-1.2194816915770066,2.036446916444918,1.8295193665134917,1,1
1,17,1,9991,0,1,1.6218202800054737,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,0.5176945530215926,0.014440510220084973,-0.9634328411530431,1,3
1,17,2,9238,1,1,-0.19817587333920963,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,0.07155565923339063,-0.03259046479514083,-0.5484124060615706,2,3
1,17,6,9500,1,1,-0.04650952722715268,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,0.40207597682371016,-0.6301146191776364,-0.7475167298210956,3,3
1,44,1,8014,0,39,-0.19817587333920963,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,0.4701761746081398,0.014440510220084973,-0.5771112943646799,1,3
1,1,1,9238,1,1,0.48432268416504665,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,-0.03300252107847686,-0.23077976049762666,-0.4298522650949122,2,2
1,39,1,9254,1,1,-0.19817587333920963,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,-0.9370734728214007,-0.6859724711132459,-0.8970635883417576,3,3
1,1,1,9500,1,1,0.48432268416504665,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,-0.37183647282206916,-0.0805862447418641,-0.1366422140068575,2,2
1,1,1,9773,1,1,-0.425675392507295,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,-0.3362321403581968,-0.8150928023269663,0.08007666384140247,3,1
1,1,3,9130,1,1,2.6076515297338436,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,2.152617036885507,-1.1183921844896791,-1.659500829549646,3,3
1,39,1,9991,0,1,-0.19817587333920963,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,-0.46475265572119034,0.2532585187214814,0.08007666384140247,1,1
1,1,1,9500,1,1,-0.19817587333920963,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,0.1755010584450038,-0.4624982851278337,-0.6840233103744393,3,3
2,7,1,9254,1,3,-0.19817587333920963,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,0.2375786059737014,2.036446916444918,1.8295193665134917,1,1
1,39,1,9130,1,40,-0.2740090463952381,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,1.9022284657279376,-0.4473237708034709,-0.4509210684544097,2,2
1,17,1,9500,1,1,0.6359890302771035,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,0.9001029736861935,-1.2206602248408784,-1.2219676467826308,3,3
1,1,3,171,1,1,-0.577341738619352,1,38,37,4,9,115.2,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,-0.8122650394454423,2.036446916444918,1.8295193665134917,1,1
1,1,2,9500,1,1,-0.577341738619352,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,-0.8342228043452987,-0.49314579300933564,-0.24567085788936774,3,2
1,44,1,9238,1,39,-0.19817587333920963,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,0.36792943634098435,-0.12958724463951077,-0.18277876565418802,2,2
1,17,3,171,1,1,0.02932364582887579,1,1,37,4,7,126.0,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,-0.03999512096561088,2.036446916444918,1.8295193665134917,1,1
1,17,1,9070,1,1,-0.425675392507295,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,0.2513444065844392,0.04221190126483707,0.31389340433108354,1,1
1,43,1,9070,1,1,-1.2598402961236081,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,-0.40037280574678386,2.036446916444918,1.8295193665134917,1,1
4,42,1,9500,1,19,0.03690696313447821,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,-0.03999512096561088,-0.10006367024038901,0.08007666384140247,2,1
1,1,3,171,1,1,0.48432268416504665,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,0.11320674931481167,2.036446916444918,1.8295193665134917,1,1
1,44,1,9003,1,39,-0.19817587333920963,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,0.2375786059737014,-0.30583711011277703,-0.30624488294696117,2,2
1,1,3,9147,1,1,-0.577341738619352,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,-0.4575874440846999,0.0967849228366777,0.14099385874256087,1,1
1,39,1,9254,1,1,2.0768193183416446,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,-1.9633804969933395,-0.12958724463951077,0.12894972127074494,2,1
1,17,1,9147,1,1,1.166821241669303,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0.510913819242599,2.036446916444918,1.8295193665134917,1,1
1,17,1,9500,1,1,1.3184875877813598,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,0.29257849299967664,-0.12217135181922083,-0.7397026993509345,2,3
1,1,1,171,1,1,0.6359890302771035,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,0.6325825680452057,2.036446916444918,1.8295193665134917,1,1
1,17,4,9254,1,1,-1.1081739500115513,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,-1.0702466844616303,-0.03259046479514083,-0.18277876565418802,2,2
1,1,2,9773,1,1,0.7118222033331321,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,0.4361581018533043,-0.23077976049762666,-0.2781795429202013,2,2
1,17,3,9147,1,1,-0.9565076038994943,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,-0.7903358468198883,0.3195789830338134,0.11510063801874017,1,1
1,18,4,9254,1,1,-2.0181720266838927,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,-1.4991979561117348,0.27834950691336396,0.08007666384140247,1,1
1,17,4,9773,1,1,-0.8806744308434659,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,-0.4432659642864071,-0.6859724711132459,-0.5932246966900222,3,3
1,17,4,9500,1,1,1.3184875877813598,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,0.29257849299967664,-1.1774209916507257,-1.277791901276643,3,3
2,39,1,8014,0,1,-0.9565076038994943,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,-0.6811145991734775,-0.12958724463951077,-0.09148886044468256,2,2
1,1,6,9853,1,1,-1.4115066422356652,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,-1.1820462669667051,-0.18977608718344452,-0.23950228819224503,2,2
1,39,1,9991,0,2,0.5601558572210751,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,1.9274113215917277,2.036446916444918,1.8295193665134917,1,1
1,39,1,9003,1,4,2.0768193183416446,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,3.4242726798581846,-0.1796364733681908,-0.5819324618472749,2,3
1,17,1,9254,1,1,-0.9565076038994943,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,-0.0749998175297952,-0.12958724463951077,-0.003970134972402458,2,1
2,39,1,8014,0,1,-0.19817587333920963,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,-1.197010224818635,0.15011400589872448,0.08007666384140247,1,1
1,42,1,9500,1,1,2.0768193183416446,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,2.2580792970469084,-0.474709157047356,-0.5088759893020431,3,3
1,39,1,9670,1,1,-0.9565076038994943,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,-1.9633804969933395,0.27834950691336396,-0.07369353645992804,1,2
1,17,1,9070,1,1,-0.6531749116753804,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,-0.6376222671572866,0.23638044930985078,0.03004966772769843,1,1
1,1,6,9147,1,1,0.7876553763891605,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,0.14784159452167628,-0.8150928023269663,-0.7579804656261953,3,3
1,43,2,9119,1,1,-1.3356734691796368,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,-1.0331471618353747,0.39992034335102367,1.8295193665134917,1,1
1,39,1,9500,1,1,0.03690696313447821,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,-1.9006997609561307,2.036446916444918,1.8295193665134917,1,1
1,17,2,9773,1,1,0.03690696313447821,41,19,1,9,9,105.0,1,0,0,0,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,-1.5756316915668147,-0.8150928023269663,-0.6506065993013443,3,3
1,15,1,9130,1,1,0.03690696313447821,41,1,1,4,4,100.0,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,-1.9633804969933395,-0.12958724463951077,1.8295193665134917,2,1
2,39,1,9853,1,10,0.03690696313447821,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,-0.7903358468198883,-0.33654747358697984,1.8295193665134917,2,1
2,39,1,8014,0,1,0.03690696313447821,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate,-0.9002686561158249,-0.09274062130122634,-0.2781795429202013,2,2
1,15,1,9119,1,1,-0.19817587333920963,26,38,3,9,2,137.0,1,0,0,1,1,0,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled,0.7132475807684427,-0.8150928023269663,-0.5651061506670894,3,3
1,1,5,9773,1,1,0.18098999194093274,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,-0.11709762649005724,-0.6859724711132459,-0.5932246966900222,3,3
1,1,5,9500,1,1,-0.04650952722715268,1,37,37,7,7,120.3,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate,-0.4432659642864071,-0.7175906850668022,-1.022683928550822,3,3
